sample_id,video_id,split,video_path,n_map_frames,n_fixation_frames,mean_map_intensity,peak_map_intensity,peak_to_mean_map_ratio,mean_map_concentration,mean_fixation_density,selected_tail
dhf1k_002,002,train,data/attention_capture/DHF1K/video/002.AVI,783,783,0.012773613544778082,,,,,low
dhf1k_003,003,train,data/attention_capture/DHF1K/video/003.AVI,448,448,0.012273762022752115,,,,,low
dhf1k_004,004,train,data/attention_capture/DHF1K/video/004.AVI,892,892,0.013658999238317758,,,,,low
dhf1k_005,005,train,data/attention_capture/DHF1K/video/005.AVI,459,459,0.022518741530985095,,,,,high
dhf1k_008,008,train,data/attention_capture/DHF1K/video/008.AVI,560,560,0.017914390989712307,,,,,high
dhf1k_010,010,train,data/attention_capture/DHF1K/video/010.AVI,596,596,0.017824221150824587,,,,,high
dhf1k_011,011,train,data/attention_capture/DHF1K/video/011.AVI,693,693,0.01298459130238532,,,,,low
dhf1k_014,014,train,data/attention_capture/DHF1K/video/014.AVI,399,399,0.014880175061551924,,,,,low
dhf1k_015,015,train,data/attention_capture/DHF1K/video/015.AVI,999,999,0.018277546470132737,,,,,high
dhf1k_016,016,train,data/attention_capture/DHF1K/video/016.AVI,646,646,0.020231531003069122,,,,,high
dhf1k_018,018,train,data/attention_capture/DHF1K/video/018.AVI,648,648,0.018825065081559674,,,,,high
dhf1k_019,019,train,data/attention_capture/DHF1K/video/019.AVI,900,900,0.021130051371744937,,,,,high
dhf1k_021,021,train,data/attention_capture/DHF1K/video/021.AVI,488,488,0.018618792471033138,,,,,high
dhf1k_022,022,train,data/attention_capture/DHF1K/video/022.AVI,421,421,0.018748787521537295,,,,,high
dhf1k_024,024,train,data/attention_capture/DHF1K/video/024.AVI,575,575,0.018291789188009243,,,,,high
dhf1k_025,025,train,data/attention_capture/DHF1K/video/025.AVI,238,238,0.014379504741318211,,,,,low
dhf1k_027,027,train,data/attention_capture/DHF1K/video/027.AVI,882,882,0.01466424139205983,,,,,low
dhf1k_028,028,train,data/attention_capture/DHF1K/video/028.AVI,528,528,0.018517735651447296,,,,,high
dhf1k_029,029,train,data/attention_capture/DHF1K/video/029.AVI,966,966,0.013985243491928707,,,,,low
dhf1k_031,031,train,data/attention_capture/DHF1K/video/031.AVI,564,564,0.019894948295244935,,,,,high
dhf1k_033,033,train,data/attention_capture/DHF1K/video/033.AVI,848,848,0.014005848402618695,,,,,low
dhf1k_034,034,train,data/attention_capture/DHF1K/video/034.AVI,484,484,0.013159459488551047,,,,,low
dhf1k_037,037,train,data/attention_capture/DHF1K/video/037.AVI,434,434,0.020024003746408607,,,,,high
dhf1k_038,038,train,data/attention_capture/DHF1K/video/038.AVI,1131,1131,0.014069160340711224,,,,,low
dhf1k_039,039,train,data/attention_capture/DHF1K/video/039.AVI,848,848,0.0185882594389182,,,,,high
dhf1k_040,040,train,data/attention_capture/DHF1K/video/040.AVI,480,480,0.01864311033859849,,,,,high
dhf1k_041,041,train,data/attention_capture/DHF1K/video/041.AVI,488,488,0.01808308054441128,,,,,high
dhf1k_045,045,train,data/attention_capture/DHF1K/video/045.AVI,817,817,0.013927824884730607,,,,,low
dhf1k_046,046,train,data/attention_capture/DHF1K/video/046.AVI,817,817,0.014706662699872015,,,,,low
dhf1k_049,049,train,data/attention_capture/DHF1K/video/049.AVI,755,755,0.013274674929851136,,,,,low
dhf1k_050,050,train,data/attention_capture/DHF1K/video/050.AVI,579,579,0.018246593307671564,,,,,high
dhf1k_051,051,train,data/attention_capture/DHF1K/video/051.AVI,450,450,0.01842718295339081,,,,,high
dhf1k_054,054,train,data/attention_capture/DHF1K/video/054.AVI,570,570,0.01934687482650604,,,,,high
dhf1k_055,055,train,data/attention_capture/DHF1K/video/055.AVI,419,419,0.017995550555037,,,,,high
dhf1k_056,056,train,data/attention_capture/DHF1K/video/056.AVI,897,897,0.013829882486142975,,,,,low
dhf1k_060,060,train,data/attention_capture/DHF1K/video/060.AVI,432,432,0.018044294576005388,,,,,high
dhf1k_061,061,train,data/attention_capture/DHF1K/video/061.AVI,598,598,0.01471980685059816,,,,,low
dhf1k_066,066,train,data/attention_capture/DHF1K/video/066.AVI,511,511,0.014877694894955175,,,,,low
