sample_id,video_id,split,video_path,n_map_frames,n_fixation_frames,mean_map_intensity,peak_map_intensity,peak_to_mean_map_ratio,mean_map_concentration,mean_fixation_density,selected_tail
dhf1k_003,003,train,data/attention_capture/DHF1K/video/003.AVI,448,448,,,,,0.0008794875374665675,high
dhf1k_004,004,train,data/attention_capture/DHF1K/video/004.AVI,892,892,,,,,0.0006516644870777533,low
dhf1k_007,007,train,data/attention_capture/DHF1K/video/007.AVI,533,533,,,,,0.0008742198905331829,high
dhf1k_008,008,train,data/attention_capture/DHF1K/video/008.AVI,560,560,,,,,0.0006750294528371472,low
dhf1k_009,009,train,data/attention_capture/DHF1K/video/009.AVI,230,230,,,,,0.0007977619268627757,high
dhf1k_012,012,train,data/attention_capture/DHF1K/video/012.AVI,967,967,,,,,0.0006729584992394928,low
dhf1k_013,013,train,data/attention_capture/DHF1K/video/013.AVI,339,339,,,,,0.0008053071729929508,high
dhf1k_016,016,train,data/attention_capture/DHF1K/video/016.AVI,646,646,,,,,0.0008728325489246007,high
dhf1k_017,017,train,data/attention_capture/DHF1K/video/017.AVI,663,663,,,,,0.0006880093108494605,low
dhf1k_018,018,train,data/attention_capture/DHF1K/video/018.AVI,648,648,,,,,0.0006603250399222569,low
dhf1k_019,019,train,data/attention_capture/DHF1K/video/019.AVI,900,900,,,,,0.0008505594130838289,high
dhf1k_020,020,train,data/attention_capture/DHF1K/video/020.AVI,566,566,,,,,0.0006082293525249318,low
dhf1k_021,021,train,data/attention_capture/DHF1K/video/021.AVI,488,488,,,,,0.0006750643938101378,low
dhf1k_024,024,train,data/attention_capture/DHF1K/video/024.AVI,575,575,,,,,0.0008076011462380057,high
dhf1k_025,025,train,data/attention_capture/DHF1K/video/025.AVI,238,238,,,,,0.0005999795753536198,low
dhf1k_030,030,train,data/attention_capture/DHF1K/video/030.AVI,398,398,,,,,0.0006654365575403191,low
dhf1k_032,032,train,data/attention_capture/DHF1K/video/032.AVI,408,408,,,,,0.0008312376621510267,high
dhf1k_034,034,train,data/attention_capture/DHF1K/video/034.AVI,484,484,,,,,0.0006165256977698492,low
dhf1k_035,035,train,data/attention_capture/DHF1K/video/035.AVI,625,625,,,,,0.0007929513896349818,high
dhf1k_036,036,train,data/attention_capture/DHF1K/video/036.AVI,546,546,,,,,0.0007929910098960719,high
dhf1k_037,037,train,data/attention_capture/DHF1K/video/037.AVI,434,434,,,,,0.0008762360805691722,high
dhf1k_038,038,train,data/attention_capture/DHF1K/video/038.AVI,1131,1131,,,,,0.0008365875824373529,high
dhf1k_041,041,train,data/attention_capture/DHF1K/video/041.AVI,488,488,,,,,0.000822055727991535,high
dhf1k_043,043,train,data/attention_capture/DHF1K/video/043.AVI,568,568,,,,,0.0006298675305541263,low
dhf1k_046,046,train,data/attention_capture/DHF1K/video/046.AVI,817,817,,,,,0.0008215396776536054,high
dhf1k_047,047,train,data/attention_capture/DHF1K/video/047.AVI,1018,1018,,,,,0.0007972766249063233,high
dhf1k_055,055,train,data/attention_capture/DHF1K/video/055.AVI,419,419,,,,,0.0008125020714664525,high
dhf1k_056,056,train,data/attention_capture/DHF1K/video/056.AVI,897,897,,,,,0.000582003669898348,low
dhf1k_057,057,train,data/attention_capture/DHF1K/video/057.AVI,659,659,,,,,0.000939989568708374,high
dhf1k_058,058,train,data/attention_capture/DHF1K/video/058.AVI,739,739,,,,,0.0006988317069974986,low
dhf1k_060,060,train,data/attention_capture/DHF1K/video/060.AVI,432,432,,,,,0.0008454198021489126,high
dhf1k_062,062,train,data/attention_capture/DHF1K/video/062.AVI,890,890,,,,,0.0006806287068214393,low
dhf1k_064,064,train,data/attention_capture/DHF1K/video/064.AVI,485,485,,,,,0.001002299901729296,high
dhf1k_067,067,train,data/attention_capture/DHF1K/video/067.AVI,944,944,,,,,0.000685888029199875,low
dhf1k_072,072,train,data/attention_capture/DHF1K/video/072.AVI,550,550,,,,,0.0006799558080489409,low
dhf1k_073,073,train,data/attention_capture/DHF1K/video/073.AVI,685,685,,,,,0.0008505803948424648,high
dhf1k_075,075,train,data/attention_capture/DHF1K/video/075.AVI,909,909,,,,,0.0008285537769872495,high
dhf1k_076,076,train,data/attention_capture/DHF1K/video/076.AVI,856,856,,,,,0.0008301846056069012,high
dhf1k_079,079,train,data/attention_capture/DHF1K/video/079.AVI,752,752,,,,,0.0006785377879962053,low
dhf1k_081,081,train,data/attention_capture/DHF1K/video/081.AVI,842,842,,,,,0.0006740059639089973,low
dhf1k_083,083,train,data/attention_capture/DHF1K/video/083.AVI,934,934,,,,,0.0008221712909196155,high
dhf1k_084,084,train,data/attention_capture/DHF1K/video/084.AVI,476,476,,,,,0.0006787702075889072,low
dhf1k_086,086,train,data/attention_capture/DHF1K/video/086.AVI,535,535,,,,,0.0006491595281344604,low
dhf1k_087,087,train,data/attention_capture/DHF1K/video/087.AVI,292,292,,,,,0.0007931708970405353,high
dhf1k_088,088,train,data/attention_capture/DHF1K/video/088.AVI,399,399,,,,,0.0008486276465487949,high
dhf1k_089,089,train,data/attention_capture/DHF1K/video/089.AVI,591,591,,,,,0.0008435340881089218,high
dhf1k_091,091,train,data/attention_capture/DHF1K/video/091.AVI,361,361,,,,,0.000805993188737564,high
dhf1k_094,094,train,data/attention_capture/DHF1K/video/094.AVI,578,578,,,,,0.000662815983443554,low
dhf1k_097,097,train,data/attention_capture/DHF1K/video/097.AVI,639,639,,,,,0.0008231313035927978,high
dhf1k_098,098,train,data/attention_capture/DHF1K/video/098.AVI,501,501,,,,,0.0007947386470632608,high
dhf1k_099,099,train,data/attention_capture/DHF1K/video/099.AVI,693,693,,,,,0.0008056131750530017,high
dhf1k_100,100,train,data/attention_capture/DHF1K/video/100.AVI,318,318,,,,,0.0008454260597724479,high
dhf1k_105,105,train,data/attention_capture/DHF1K/video/105.AVI,613,613,,,,,0.000678676419710432,low
dhf1k_106,106,train,data/attention_capture/DHF1K/video/106.AVI,398,398,,,,,0.0006780429941326515,low
dhf1k_110,110,train,data/attention_capture/DHF1K/video/110.AVI,841,841,,,,,0.0008190326074550236,high
dhf1k_111,111,train,data/attention_capture/DHF1K/video/111.AVI,521,521,,,,,0.0006781080067930868,low
dhf1k_116,116,train,data/attention_capture/DHF1K/video/116.AVI,1007,1007,,,,,0.0008314024055743813,high
dhf1k_118,118,train,data/attention_capture/DHF1K/video/118.AVI,261,261,,,,,0.0008441923421243798,high
dhf1k_119,119,train,data/attention_capture/DHF1K/video/119.AVI,448,448,,,,,0.0008036876847654639,high
dhf1k_121,121,train,data/attention_capture/DHF1K/video/121.AVI,866,866,,,,,0.000802796020977227,high
dhf1k_122,122,train,data/attention_capture/DHF1K/video/122.AVI,893,893,,,,,0.0006706336710044346,low
dhf1k_123,123,train,data/attention_capture/DHF1K/video/123.AVI,483,483,,,,,0.0008325155994466334,high
dhf1k_124,124,train,data/attention_capture/DHF1K/video/124.AVI,1048,1048,,,,,0.0006863395555860421,low
dhf1k_125,125,train,data/attention_capture/DHF1K/video/125.AVI,847,847,,,,,0.0008272405474231201,high
dhf1k_126,126,train,data/attention_capture/DHF1K/video/126.AVI,676,676,,,,,0.0008591888053962664,high
dhf1k_127,127,train,data/attention_capture/DHF1K/video/127.AVI,269,269,,,,,0.0008286703586773981,high
dhf1k_128,128,train,data/attention_capture/DHF1K/video/128.AVI,436,436,,,,,0.000640489616262547,low
dhf1k_129,129,train,data/attention_capture/DHF1K/video/129.AVI,232,232,,,,,0.0006799643794285407,low
