sample_id,video_id,split,video_path,n_map_frames,n_fixation_frames,mean_map_intensity,peak_map_intensity,peak_to_mean_map_ratio,mean_map_concentration,mean_fixation_density,selected_tail,source_video_path,modal_media_found,modal_media_size_bytes
dhf1k_003,003,train,/bmd-videos/attention_capture/DHF1K/video/003.AVI,448,448,,,,,0.0008794875374665675,high,data/attention_capture/DHF1K/video/003.AVI,True,3381814
dhf1k_004,004,train,/bmd-videos/attention_capture/DHF1K/video/004.AVI,892,892,,,,,0.0006516644870777533,low,data/attention_capture/DHF1K/video/004.AVI,True,6245522
dhf1k_007,007,train,/bmd-videos/attention_capture/DHF1K/video/007.AVI,533,533,,,,,0.0008742198905331829,high,data/attention_capture/DHF1K/video/007.AVI,True,3024320
dhf1k_008,008,train,/bmd-videos/attention_capture/DHF1K/video/008.AVI,560,560,,,,,0.0006750294528371472,low,data/attention_capture/DHF1K/video/008.AVI,True,3870350
dhf1k_009,009,train,/bmd-videos/attention_capture/DHF1K/video/009.AVI,230,230,,,,,0.0007977619268627757,high,data/attention_capture/DHF1K/video/009.AVI,True,1560378
dhf1k_012,012,train,/bmd-videos/attention_capture/DHF1K/video/012.AVI,967,967,,,,,0.0006729584992394928,low,data/attention_capture/DHF1K/video/012.AVI,True,6860040
dhf1k_013,013,train,/bmd-videos/attention_capture/DHF1K/video/013.AVI,339,339,,,,,0.0008053071729929508,high,data/attention_capture/DHF1K/video/013.AVI,True,2605584
dhf1k_016,016,train,/bmd-videos/attention_capture/DHF1K/video/016.AVI,646,646,,,,,0.0008728325489246007,high,data/attention_capture/DHF1K/video/016.AVI,True,2082520
dhf1k_017,017,train,/bmd-videos/attention_capture/DHF1K/video/017.AVI,663,663,,,,,0.0006880093108494605,low,data/attention_capture/DHF1K/video/017.AVI,True,4572822
dhf1k_018,018,train,/bmd-videos/attention_capture/DHF1K/video/018.AVI,648,648,,,,,0.0006603250399222569,low,data/attention_capture/DHF1K/video/018.AVI,True,4698590
dhf1k_019,019,train,/bmd-videos/attention_capture/DHF1K/video/019.AVI,900,900,,,,,0.0008505594130838289,high,data/attention_capture/DHF1K/video/019.AVI,True,6135516
dhf1k_020,020,train,/bmd-videos/attention_capture/DHF1K/video/020.AVI,566,566,,,,,0.0006082293525249318,low,data/attention_capture/DHF1K/video/020.AVI,True,4108480
dhf1k_021,021,train,/bmd-videos/attention_capture/DHF1K/video/021.AVI,488,488,,,,,0.0006750643938101378,low,data/attention_capture/DHF1K/video/021.AVI,True,3512906
dhf1k_024,024,train,/bmd-videos/attention_capture/DHF1K/video/024.AVI,575,575,,,,,0.0008076011462380057,high,data/attention_capture/DHF1K/video/024.AVI,True,4220490
dhf1k_025,025,train,/bmd-videos/attention_capture/DHF1K/video/025.AVI,238,238,,,,,0.0005999795753536198,low,data/attention_capture/DHF1K/video/025.AVI,True,1828576
dhf1k_030,030,train,/bmd-videos/attention_capture/DHF1K/video/030.AVI,398,398,,,,,0.0006654365575403191,low,data/attention_capture/DHF1K/video/030.AVI,True,2955592
dhf1k_032,032,train,/bmd-videos/attention_capture/DHF1K/video/032.AVI,408,408,,,,,0.0008312376621510267,high,data/attention_capture/DHF1K/video/032.AVI,True,3035068
